match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_totalOffside,captain,stat_totalContest,stat_wonContest,stat_goalAssist,player_sofascoreId,stat_onTargetScoringAttempt,player_firstName,player_lastName,stat_bigChanceMissed,stat_goals,stat_goodHighClaim
10385473,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,17,17,False,37.0,25.0,18.0,6.0,19.0,21.0,6.0,16.0,1.0,5.0,1.0,1.0,1.0,1.0,90.0,42.0,6.5,12.0,0.0,0.0,0.0022327,0,-0.6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385473,home,Fulham,Kenny Tete,kenny-tete,K. Tete,D,2,180,1146,M,190877,EUR,813196800,D,2,2,False,43.0,33.0,3.0,1.0,18.0,23.0,16.0,23.0,2.0,5.0,,,,,90.0,83.0,6.9,22.0,0.0656,0.0,0.190499,2,,3.0,1.0,1.0,2.0,5.0,6.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,
10385473,home,Fulham,Issa Diop,issa-diop,I. Diop,D,31,194,838,M,825719,EUR,852768000,D,31,31,False,50.0,43.0,8.0,3.0,36.0,40.0,7.0,11.0,1.0,11.0,,,,,90.0,63.0,6.8,9.0,0.0,0.0,0.00168606,0,,1.0,,,,3.0,3.0,1.0,1.0,,,,2.0,,,,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,
10385473,home,Fulham,Tim Ream,tim-ream,T. Ream,D,3,185,548,M,118179,EUR,560390400,D,13,13,False,69.0,62.0,9.0,4.0,46.0,46.0,16.0,23.0,7.0,11.0,,,,,90.0,82.0,6.9,7.0,0.0,0.0,0.00896102,0,,,,3.0,3.0,5.0,4.0,,,,,,,,,,,2.0,,2.0,,True,1.0,1.0,,,,,,,,
10385473,home,Fulham,Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2862,M,803174,EUR,870998400,D,33,33,False,41.0,34.0,4.0,3.0,19.0,24.0,16.0,21.0,1.0,9.0,,,,,90.0,68.0,6.9,17.0,0.0,0.0,0.0186769,0,,4.0,1.0,,,5.0,3.0,1.0,1.0,,,,2.0,1.0,2.0,1.0,,2.0,1.0,3.0,,,,,1.0,,,,,,,
10385473,home,Fulham,Harrison Reed,harrison-reed,H. Reed,M,6,176,353,M,365802,EUR,791164800,M,6,6,False,30.0,29.0,3.0,2.0,14.0,14.0,15.0,17.0,,5.0,,,,,45.0,36.0,6.9,3.0,0.0,0.0,0.028864,0,,1.0,,1.0,1.0,3.0,4.0,,1.0,,,,3.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,
10385473,home,Fulham,João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16491,M,364612,EUR,805248000,M,26,26,False,45.0,40.0,7.0,4.0,23.0,24.0,17.0,21.0,1.0,11.0,,,,,90.0,60.0,6.9,6.0,0.0372,0.0173,0.0227664,2,,,,1.0,,5.0,7.0,2.0,1.0,,,1.0,3.0,2.0,,,,1.0,4.0,1.0,,,,,,Palhinha,1.0,,,,,
10385473,home,Fulham,Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1230,M,151499,EUR,728611200,M,14,14,False,19.0,14.0,,,4.0,6.0,11.0,16.0,,1.0,,,,,45.0,30.0,7.2,10.0,0.0,0.0,0.0477189,0,,3.0,1.0,1.0,,1.0,4.0,,,1.0,,,1.0,1.0,3.0,2.0,,1.0,1.0,,,,2.0,2.0,,,,,,,,
10385473,home,Fulham,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14092,M,285949,EUR,820454400,M,18,18,False,24.0,16.0,3.0,1.0,4.0,5.0,14.0,24.0,,,,,,,90.0,44.0,6.1,18.0,0.0513,0.2267,0.0629419,2,,5.0,2.0,2.0,,11.0,3.0,4.0,4.0,,1.0,,1.0,,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,andreaspereira,1.0,,,,,
10385473,home,Fulham,Willian,willian,Willian,F,88,175,9698,M,31417,EUR,587088000,M,20,20,False,20.0,13.0,2.0,2.0,7.0,8.0,6.0,12.0,1.0,3.0,,,,,83.0,37.0,6.2,15.0,0.0,0.0,0.0136705,0,,,,2.0,,9.0,3.0,1.0,2.0,,,,1.0,,2.0,2.0,,1.0,1.0,1.0,,,4.0,1.0,,willianborges88,,,,,,
10385473,home,Fulham,Carlos Vinícius,carlos-vinicius,C. Vinícius,F,95,190,7091,M,891920,EUR,796089600,F,30,30,False,19.0,9.0,1.0,,1.0,3.0,8.0,17.0,1.0,3.0,,,,,90.0,33.0,5.9,18.0,0.2493,0.8303,0.089078,2,,1.0,,8.0,4.0,10.0,4.0,1.0,1.0,,,,,,6.0,,,,,,,,,,,,2.0,,,2.0,,
10385473,home,Fulham,Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2086,M,371222,EUR,839894400,M,28,28,True,29.0,27.0,1.0,1.0,14.0,14.0,13.0,15.0,,1.0,,,,,45.0,38.0,7.1,2.0,0.0267,0.0,0.0215,1,,,,,,2.0,6.0,,,,,1.0,2.0,2.0,,,,1.0,2.0,2.0,,,2.0,2.0,,,,,,,,
10385473,home,Fulham,Manor Solomon,manor-solomon,M. Solomon,M,19,167,5398,M,862223,EUR,932774400,F,11,11,True,18.0,16.0,,,5.0,6.0,11.0,13.0,,3.0,,,,,45.0,29.0,7.3,6.0,0.0297,0.3575,0.0301591,1,,1.0,,,,3.0,3.0,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,2.0,1.0,,,1.0,,,,1.0,
10385473,home,Fulham,Harry Wilson,harry-wilson,H. Wilson,M,8,173,4932,M,355528,EUR,858988800,M,8,8,True,4.0,3.0,,,1.0,1.0,2.0,4.0,,,,,,,16.0,10.0,6.5,2.0,0.0,0.0,0.00725763,0,,1.0,,,1.0,3.0,5.0,3.0,,,,,,,,,,1.0,3.0,,,,1.0,1.0,,,,,,,,
10385473,home,Fulham,Marek Rodák,marek-rodak,M. Rodák,G,1,188,517,M,358694,EUR,850435200,G,1,1,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385473,home,Fulham,Layvin Kurzawa,layvin-kurzawa,L. Kurzawa,D,3,182,1724,M,135775,EUR,715564800,D,3,3,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385473,home,Fulham,Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10523,M,352668,EUR,875059200,D,4,4,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,tosinadarabioyo,,,,,,
10385473,home,Fulham,Shane Duffy,shane-duffy,S. Duffy,D,4,193,483,M,55570,EUR,694224000,D,5,5,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385473,home,Fulham,Daniel James,daniel-james,D. James,M,7,172,4111,M,828639,EUR,879120000,M,21,21,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel_James97,,,,,,
10385473,home,Fulham,Cédric Soares,cedric-soares,C. Soares,M,21,172,2806,M,44760,EUR,683596800,D,12,12,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385473,away,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192,4016,M,252669,EUR,727228800,G,1,1,False,27.0,16.0,14.0,3.0,13.0,14.0,3.0,13.0,,8.0,2.0,4.0,,,90.0,38.0,7.0,11.0,0.0,0.0,0.00070211,0,0.4318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
